Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
1:20978	 1536.5	1	  249.8	NaN	NaN	   27.3	 144.91	NaN	 145.44	  -0.88	   0.00	1	  479.8	NaN	NaN	   62.3	 245.48	NaN	 245.87	  -0.78	   0.00	1	  556.9	NaN	NaN	   64.0	 310.50	NaN	 310.93	  -0.74	   0.00	1	  250.0	NaN	NaN	   46.5	  96.06	NaN	  96.59	  -0.91	   0.00	--------	-1	0.00	*
1:21067	  916.5	1	  106.2	NaN	NaN	   27.3	  29.99	NaN	  30.32	  -0.76	   0.00	1	  354.2	NaN	NaN	   62.3	 142.48	NaN	 142.77	  -0.72	   0.00	1	  297.1	NaN	NaN	   64.0	  98.77	NaN	  99.02	  -0.69	   0.00	1	  159.0	NaN	NaN	   46.5	  37.13	NaN	  37.55	  -0.83	   0.00	--------	-1	0.00	*
1:24733	 1158.0	1	   80.0	NaN	NaN	   27.3	  15.33	NaN	  15.59	  -0.88	   0.06	1	  572.0	NaN	NaN	   62.3	 999.00	NaN	 999.00	  -0.69	   0.06	1	  442.0	NaN	NaN	   64.0	 208.05	NaN	 208.40	  -0.75	   0.06	0	   64.0	NaN	NaN	   46.5	   1.85	NaN	   2.07	  -0.78	   0.06	--------	-1	0.00	*
1:34673	 3423.7	1	  380.8	NaN	NaN	   27.3	 283.74	NaN	 284.41	  -0.76	   0.01	1	 1149.9	NaN	NaN	   62.3	 999.00	NaN	 999.00	  -0.59	   0.01	1	 1764.0	NaN	NaN	   64.0	 999.00	NaN	 999.00	  -0.60	   0.01	1	  128.9	NaN	NaN	   46.5	  22.42	NaN	  22.80	  -0.73	   0.01	--------	-1	0.00	*
1:34743	 2907.3	1	  289.2	NaN	NaN	   27.3	 184.70	NaN	 185.28	  -0.71	   0.01	1	 1219.1	NaN	NaN	   62.3	 999.00	NaN	 999.00	  -0.57	   0.01	1	 1180.0	NaN	NaN	   64.0	 999.00	NaN	 999.00	  -0.57	   0.01	1	  219.1	NaN	NaN	   46.5	  74.23	NaN	  74.73	  -0.90	   0.01	--------	-1	0.00	*
1:50794	  706.0	1	   62.0	NaN	NaN	   27.3	   7.87	NaN	   8.09	  -0.85	   0.00	1	  316.0	NaN	NaN	   62.3	 113.99	NaN	 114.25	  -0.86	   0.00	1	  278.0	NaN	NaN	   64.0	  85.72	NaN	  85.95	  -0.89	   0.00	0	   50.0	NaN	NaN	   46.5	   0.34	NaN	   0.49	  -0.77	   0.00	--------	-1	0.00	*
1:58083	  432.1	0	   34.1	NaN	NaN	   27.3	   0.98	NaN	   1.06	  -0.85	   0.00	1	  233.9	NaN	NaN	   62.3	  61.27	NaN	  61.46	  -0.90	   0.00	1	  137.2	NaN	NaN	   64.0	  15.04	NaN	  15.12	  -0.92	   0.00	0	   26.8	NaN	NaN	   46.5	  -0.03	NaN	   0.00	  -0.75	   0.00	--------	-1	0.00	*
1:58332	  444.9	1	   58.9	NaN	NaN	   27.3	   6.82	NaN	   7.02	  -0.87	   0.00	1	  212.1	NaN	NaN	   62.3	  49.64	NaN	  49.80	  -0.98	   0.00	1	  111.8	NaN	NaN	   64.0	   7.39	NaN	   7.43	  -0.98	   0.00	0	   62.2	NaN	NaN	   46.5	   1.70	NaN	   1.92	  -0.94	   0.00	--------	-1	0.00	*
1:60496	  470.0	1	   61.0	NaN	NaN	   27.3	   7.51	NaN	   7.73	  -0.80	   0.00	1	  163.0	NaN	NaN	   62.3	  25.73	NaN	  25.83	  -0.96	   0.00	1	  217.0	NaN	NaN	   64.0	  49.97	NaN	  50.15	  -0.84	   0.00	0	   29.0	NaN	NaN	   46.5	  -0.04	NaN	   0.00	  -0.69	   0.00	--------	-1	0.00	*
1:89106	 5205.0	1	  965.0	NaN	NaN	   27.3	 999.00	NaN	 999.00	  -0.71	   0.15	1	 1261.0	NaN	NaN	   62.3	 999.00	NaN	 999.00	  -0.67	   0.15	1	 1503.0	NaN	NaN	   64.0	 999.00	NaN	 999.00	  -0.65	   0.15	1	 1476.0	NaN	NaN	   58.6	 999.00	NaN	 999.00	  -0.65	   0.15	--------	-1	0.00	*
