Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
1:34645	  474.0	1	   38.0	NaN	NaN	   15.3	   5.63	NaN	   6.16	  -0.78	   0.00	1	  262.0	NaN	NaN	   14.5	 222.81	NaN	 223.60	  -0.78	   0.00	1	  163.0	NaN	NaN	   12.4	 117.59	NaN	 118.30	  -0.88	   0.00	0	   11.0	NaN	NaN	    8.7	   0.42	NaN	   0.59	  -0.82	   0.00	--------	-1	0.00	*
1:173199	  143.9	1	   26.1	NaN	NaN	   15.3	   2.08	NaN	   2.38	  -0.60	   0.00	1	   71.7	NaN	NaN	    8.5	  40.18	NaN	  40.54	  -0.58	   0.00	1	   35.8	NaN	NaN	   10.0	   9.56	NaN	   9.81	  -0.51	   0.00	0	   10.4	NaN	NaN	    7.3	   0.69	NaN	   0.93	  -0.59	   0.00	--------	-1	0.00	*
1:173317	  501.1	1	   78.9	NaN	NaN	   15.3	  29.19	NaN	  30.07	  -0.90	   0.00	1	  243.3	NaN	NaN	    8.5	 254.11	NaN	 254.99	  -0.85	   0.00	1	  154.2	NaN	NaN	   10.1	 121.63	NaN	 122.36	  -0.97	   0.00	1	   24.6	NaN	NaN	    7.3	   5.90	NaN	   6.69	  -0.86	   0.00	--------	-1	0.00	*
10:125000	  125.0	0	   24.0	NaN	NaN	   16.7	   1.03	NaN	   1.27	  -0.62	   0.00	1	   60.0	NaN	NaN	   10.7	  24.61	NaN	  24.90	  -0.90	   0.00	1	   34.0	NaN	NaN	   10.4	   8.06	NaN	   8.28	  -0.87	   0.00	0	    7.0	NaN	NaN	    9.6	   0.03	NaN	   0.08	  -0.52	   0.00	--------	-1	0.00	*
10:148459	   63.7	1	   34.1	NaN	NaN	   19.1	   2.76	NaN	   3.14	  -0.97	   0.00	0	    6.7	NaN	NaN	    8.0	   0.12	NaN	   0.16	  -0.56	   0.00	0	   13.0	NaN	NaN	   13.7	   0.19	NaN	   0.21	  -0.97	   0.00	0	    9.9	NaN	NaN	    9.9	   0.20	NaN	   0.28	  -1.35	   0.00	--------	-1	0.00	*
10:148779	   99.3	1	   33.9	NaN	NaN	   19.1	   2.51	NaN	   2.86	  -0.99	   0.00	1	   28.3	NaN	NaN	    8.0	   7.91	NaN	   8.06	  -0.98	   0.00	1	   28.0	NaN	NaN	   13.7	   3.51	NaN	   3.68	  -0.87	   0.00	0	    9.1	NaN	NaN	    9.1	   0.26	NaN	   0.37	  -0.83	   0.00	--------	-1	0.00	*
10:248921	  442.0	1	   88.0	NaN	NaN	   16.6	  33.27	NaN	  34.18	  -0.76	   0.20	1	  150.0	NaN	NaN	   11.9	 106.13	NaN	 106.68	  -0.95	   0.20	1	  172.0	NaN	NaN	   13.0	 124.74	NaN	 125.50	  -0.80	   0.20	1	   32.0	NaN	NaN	    7.8	   9.34	NaN	  10.19	  -0.80	   0.20	--------	-1	0.00	*
10:604161	 1451.0	1	  133.0	NaN	NaN	   20.6	  59.23	NaN	  60.31	  -0.86	   0.06	1	  622.0	NaN	NaN	   18.4	 999.00	NaN	 999.00	  -0.76	   0.06	1	  643.0	NaN	NaN	   18.7	 999.00	NaN	 999.00	  -0.71	   0.06	1	   53.0	NaN	NaN	   11.5	  17.36	NaN	  18.45	  -0.86	   0.06	--------	-1	0.00	*
10:700237	   71.7	0	    6.9	NaN	NaN	   15.9	  -0.02	NaN	   0.00	  -0.50	   0.00	1	   36.1	NaN	NaN	    8.0	  12.84	NaN	  13.04	  -0.60	   0.00	1	   19.5	NaN	NaN	   10.3	   2.17	NaN	   2.31	  -0.94	   0.00	0	    9.4	NaN	NaN	    9.0	   0.27	NaN	   0.39	  -0.83	   0.00	--------	-1	0.00	*
10:700342	  156.3	1	   27.1	NaN	NaN	   16.0	   2.08	NaN	   2.37	  -0.77	   0.00	1	  108.9	NaN	NaN	    8.0	  80.50	NaN	  81.01	  -1.00	   0.00	0	   14.5	NaN	NaN	   10.3	   0.91	NaN	   0.99	  -1.01	   0.00	0	    5.6	NaN	NaN	    8.5	   0.03	NaN	   0.07	  -1.36	   0.00	--------	-1	0.00	*
