,Eth,Glu
FLC2,1,1
FUN30,1,0
CYS3,0,1
EFB1,1,1
YAT1,1,1
PHO11,1,0
ACS1,1,1
ATS1,1,0
SSA1,1,1
ECM25,0,1
RPL17B,1,1
ERG20,1,1
DAS1,1,1
IDS2,1,1
RPB4,1,1
MRS3,1,1
YJL118W,1,1
PHO86,1,1
ASF1,1,1
SET4,0,1
LSB6,1,1
NET1,1,1
TDH1,1,2
CHM7,1,1
MHP1,1,1
RNR2,1,1
MPP10,1,1
MHO1,2,2
YJR015W,1,1
CYC1,2,1
PTK2,1,1
MOG1,2,2
BNA2,1,1
SFC1,1,1
URA8,1,1
ADO1,1,1
YJR115W,1,2
ATP2,1,1
IBA57,1,1
XPT1,1,1
HMS2,1,1
NUC1,0,1
ATG27,1,1
SET2,1,1
CIS3,1,1
INO1,2,2
SNA3,3,3
MRX5,1,1
YAK1,1,1
DPI8,1,1
NCA3,1,1
GSH1,1,1
GWT1,1,1
PRY3,1,1
UBX6,1,1
YJL047C-A,1,1
VTC4,1,1
SPC1,0,1
TES1,3,1
REC107,1,0
ANB1,1,0
APS2,1,1
OPI3,2,2
MIR1,1,1
VPS25,1,1
SOD1,1,1
RSM7,1,1
RSF2,2,2
MET5,1,1
HOM6,1,0
RPS4A,1,1
DAN4,1,0
JEN1,1,1
UBA1,0,1
FAS1,2,2
LTV1,1,1
YPK1,1,1
OAC1,1,1
HAP4,1,1
CWP2,2,2
TEF4,1,1
YKL068W-A,2,2
MSN4,1,1
RGT1,1,1
UGP1,1,1
TCD2,1,0
CAP1,0,1
PRY2,1,1
GAP1,2,1
PTR2,1,1
PCC1,1,1
ESL2,1,1
SIR1,0,1
MNN4,1,1
PTK1,1,1
PIR1,1,1
GPM1,0,1
RPC25,1,1
PMU1,1,1
KTI12,1,1
RRP14,1,1
FBA1,1,1
IXR1,2,2
URB1,1,1
LAC1,0,1
YKR011C,1,1
MRS4,0,1
SKG1,0,1
YLL058W,1,1
YCT1,1,1
TPO1,2,2
PAU17,1,1
LOT6,1,1
PSR2,1,1
RPS0B,1,0
SUL2,1,1
AHP1,1,1
YLR112W,3,3
HOG1,2,2
CFT2,1,0
CKI1,1,2
RRN5,1,1
IDP2,1,1
PEX13,1,1
ENT2,1,1
THI7,2,2
YEF3,0,1
MCP2,1,1
HAP1,1,1
YLR257W,1,0
GSY2,1,1
YLR283W,2,2
NNT1,1,0
YLR297W,1,1
EXG1,2,2
HRI1,0,1
MET17,1,1
CDA2,1,0
YLR326W,2,1
NMA1,1,0
MID2,1,1
FKS1,1,1
LUG1,2,2
ATG33,1,1
ROM2,1,1
ELO3,1,0
STP3,1,1
CSR1,2,2
VAC14,1,1
RPS29A,1,1
ECM19,0,1
CCW14,0,1
SFP1,1,1
YLR407W,1,1
VPS36,1,1
CAR2,2,2
RPL6B,2,2
AQY2,1,1
UBI4,1,1
DPS1,1,1
POM34,1,1
IZH3,1,1
SMF3,1,1
PDC1,1,1
MEF1,1,1
RFU1,1,0
GIS3,1,1
YLR108C,1,1
CCW12,2,2
AVL9,1,0
YPS3,1,0
USB1,1,2
SLS1,1,1
YLR152C,1,1
ACS2,1,1
RNH203,1,1
UPS2,1,1
APS1,1,1
HMX1,1,1
ADY4,0,1
YLR278C,2,2
RSO55,2,2
ECI1,1,0
YHC1,1,1
ACO1,1,1
YLR307C-A,1,0
RPL38,1,1
TMA10,2,1
RPS25B,1,1
CIS1,1,1
KAP95,1,1
NIT3,1,1
TAL1,1,1
ILV5,1,1
ARC18,1,1
VID22,1,1
FBP1,1,1
SEC61,2,2
IKI3,1,1
SWC7,1,1
REH1,1,1
STE23,0,1
BDF1,1,1
DUS3,1,1
RPL31B,1,1
PUN1,1,1
DIF1,2,2
VMA6,2,2
YLR460C,1,1
GTR1,1,1
YML119W,1,0
URA5,1,1
CAC2,1,1
TSL1,1,2
UFO1,1,1
RPS1B,1,0
HUG1,1,0
SML1,1,0
YOX1,1,1
RPS17A,1,1
PSP2,1,1
YML003W,0,1
ADI1,1,2
ANY1,1,1
HXT2,2,2
RSF1,1,1
ARG80,2,2
MCM1,2,2
NAT4,1,1
MOT3,2,2
ADH3,1,1
SEG1,1,0
SPG4,2,2
ILV2,1,1
NCW1,2,2
PKR1,1,1
GAT2,2,2
CIN4,1,1
RIM11,1,1
RPS16A,1,1
DDR48,0,1
HSC82,1,1
SPG5,1,1
ICY1,1,1
CLN1,1,1
YHM2,1,1
FAA4,1,0
HOR7,1,1
SAP30,1,2
RSN1,1,1
TDA1,1,0
GAS1,1,1
PHO84,1,1
NDI1,1,0
PML39,1,1
NUP188,1,1
CUE4,1,1
RPM2,2,2
HMG1,1,1
TEM1,1,0
CYB2,2,2
YML6,1,1
YML018C,1,1
MRPL39,1,1
GIS4,2,2
GLO1,0,1
PLB2,1,0
PLB1,1,1
ERG5,2,2
FAR8,1,1
MSN2,1,1
ISF1,1,1
RPL15B,2,2
GID8,2,2
RPL13B,1,1
NDE1,2,1
SGS1,1,1
CMC4,2,2
RNT1,0,1
CUS1,1,1
