,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34676,+,344,4.228758169934641,Eth
2,FLC2,chr1,34676,+,344,3.704918032786886,Glu
3,ACS1,chr1,34676,-,336,4.228758169934641,Eth
4,ACS1,chr1,34676,-,336,3.704918032786886,Glu
5,FUN30,chr1,103856,+,165,2.1232876712328768,Eth
6,ATS1,chr1,103856,-,25,2.1232876712328768,Eth
7,CYS3,chr1,120072,+,123,2.1894736842105265,Glu
8,EFB1,chr1,131077,+,290,9.07563025210084,Eth
9,EFB1,chr1,131077,+,290,5.578947368421052,Glu
10,SSA1,chr1,131077,-,370,9.07563025210084,Eth
11,SSA1,chr1,131077,-,370,5.578947368421052,Glu
12,YAT1,chr1,173625,+,188,2.6058631921824107,Eth
13,YAT1,chr1,173625,+,188,6.8711656441717786,Glu
14,PHO11,chr1,203100,+,597,2.26890756302521,Eth
15,NUC1,chr10,30167,-,137,2.347826086956522,Glu
16,ECM25,chr10,43035,+,133,2.1217391304347823,Glu
17,RPL17B,chr10,79269,+,284,3.2666666666666666,Eth
18,RPL17B,chr10,79269,+,284,2.9565217391304346,Glu
19,ATG27,chr10,79269,-,368,3.2666666666666666,Eth
20,ATG27,chr10,79269,-,368,2.9565217391304346,Glu
21,ERG20,chr10,93372,+,364,8.68944099378882,Eth
22,ERG20,chr10,93372,+,364,8.49645390070922,Glu
23,SET2,chr10,93372,-,71,8.68944099378882,Eth
24,SET2,chr10,93372,-,71,8.49645390070922,Glu
25,CIS3,chr10,112061,-,302,7.260000000000001,Eth
26,CIS3,chr10,112061,-,302,4.791304347826087,Glu
27,INO1,chr10,124966,-,269,45.76190476190475,Eth
28,INO1,chr10,124966,-,269,35.68452380952381,Glu
29,SNA3,chr10,124966,-,599,45.76190476190475,Eth
30,SNA3,chr10,124966,-,599,35.68452380952381,Glu
31,INO1,chr10,125203,-,506,10.57847533632287,Eth
32,INO1,chr10,125203,-,506,5.823170731707317,Glu
