Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
10:15257	  709.0	1	  116.0	NaN	NaN	   11.7	  70.77	NaN	  71.72	  -0.64	   0.17	1	  240.0	NaN	NaN	   21.5	 157.19	NaN	 158.04	  -0.77	   0.17	1	  285.0	NaN	NaN	   14.1	 255.40	NaN	 256.34	  -0.77	   0.17	1	   68.0	NaN	NaN	   11.4	  28.74	NaN	  29.42	  -0.72	   0.17	--------	-1	0.00	*
10:93621	  159.0	1	   24.0	NaN	NaN	   13.2	   2.16	NaN	   2.30	  -1.36	   0.00	1	   64.0	NaN	NaN	   23.6	  11.13	NaN	  11.27	  -0.78	   0.00	1	   47.0	NaN	NaN	   14.3	  11.02	NaN	  11.13	  -1.01	   0.00	0	   24.0	NaN	NaN	   15.4	   1.46	NaN	   1.59	  -0.82	   0.00	--------	-1	0.00	*
10:248938	  364.0	1	   45.0	NaN	NaN	   14.9	   9.22	NaN	   9.60	  -0.72	   0.25	1	  134.0	NaN	NaN	   27.7	  46.55	NaN	  46.99	  -0.74	   0.25	1	  137.0	NaN	NaN	   16.0	  76.23	NaN	  76.74	  -0.77	   0.25	1	   48.0	NaN	NaN	   13.4	  12.23	NaN	  12.64	  -0.81	   0.25	--------	-1	0.00	*
10:396874	  211.0	1	   25.0	NaN	NaN	   12.6	   2.73	NaN	   2.89	  -0.49	   0.19	1	   97.0	NaN	NaN	   21.5	  31.70	NaN	  32.03	  -0.77	   0.19	1	   62.0	NaN	NaN	   14.5	  19.66	NaN	  19.82	  -0.78	   0.19	1	   27.0	NaN	NaN	   13.1	   3.08	NaN	   3.29	  -0.66	   0.19	--------	-1	0.00	*
10:407638	   87.0	0	   12.0	NaN	NaN	   11.7	   0.24	NaN	   0.30	  -0.69	   0.00	0	   30.0	NaN	NaN	   21.5	   1.25	NaN	   1.31	  -0.59	   0.00	1	   32.0	NaN	NaN	   14.1	   4.48	NaN	   4.55	  -0.98	   0.00	0	   13.0	NaN	NaN	   11.4	   0.36	NaN	   0.44	  -0.55	   0.00	--------	-1	0.00	*
10:461875	  233.0	1	   49.0	NaN	NaN	   11.7	  14.87	NaN	  15.39	  -0.89	   0.00	1	   69.0	NaN	NaN	   21.5	  15.28	NaN	  15.44	  -0.82	   0.00	1	   75.0	NaN	NaN	   14.1	  29.16	NaN	  29.39	  -0.81	   0.00	1	   40.0	NaN	NaN	   11.4	  10.04	NaN	  10.42	  -0.83	   0.00	--------	-1	0.00	*
10:601882	  344.0	1	   34.0	NaN	NaN	   18.7	   2.86	NaN	   3.04	  -0.54	   0.38	1	  138.0	NaN	NaN	   30.6	  44.69	NaN	  45.10	  -0.70	   0.38	1	  102.0	NaN	NaN	   24.1	  31.23	NaN	  31.47	  -0.70	   0.38	1	   70.0	NaN	NaN	   15.9	  22.29	NaN	  22.86	  -0.72	   0.38	--------	-1	0.00	*
10:604279	 1456.0	1	   40.0	NaN	NaN	   16.5	   5.91	NaN	   6.18	  -0.65	   0.21	1	  761.0	NaN	NaN	   37.2	 999.00	NaN	 999.00	  -0.67	   0.21	1	  552.0	NaN	NaN	   31.5	 999.00	NaN	 999.00	  -0.69	   0.21	1	  103.0	NaN	NaN	   16.9	  44.02	NaN	  44.80	  -0.64	   0.21	--------	-1	0.00	*
10:618179	  190.0	1	   24.0	NaN	NaN	   11.7	   2.80	NaN	   2.98	  -0.75	   0.00	1	   61.0	NaN	NaN	   21.5	  11.41	NaN	  11.56	  -0.70	   0.00	1	   71.0	NaN	NaN	   14.3	  25.84	NaN	  26.04	  -0.64	   0.00	1	   34.0	NaN	NaN	   14.1	   5.06	NaN	   5.32	  -0.71	   0.00	--------	-1	0.00	*
11:74479	  282.0	1	   40.0	NaN	NaN	   23.2	   2.84	NaN	   3.01	  -0.76	   0.00	1	  101.0	NaN	NaN	   34.7	  19.28	NaN	  19.48	  -0.95	   0.00	1	  115.0	NaN	NaN	   28.3	  33.58	NaN	  33.84	  -0.68	   0.00	0	   26.0	NaN	NaN	   16.7	   1.55	NaN	   1.69	  -0.65	   0.00	--------	-1	0.00	*
