Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
1:186620	   83.0	0	    7.0	NaN	NaN	    8.3	   0.08	NaN	   0.14	  -0.65	   0.00	0	   29.0	NaN	NaN	   24.4	   0.66	NaN	   0.70	  -0.95	   0.00	0	   28.0	NaN	NaN	   17.0	   1.99	NaN	   2.06	  -0.89	   0.00	0	   19.0	NaN	NaN	   29.1	  -0.18	NaN	   0.01	  -0.76	   0.00	--------	-1	0.00	*
11:186187	   71.0	0	    3.0	NaN	NaN	    7.5	  -0.00	NaN	   0.01	  -2.40	   0.00	0	   20.0	NaN	NaN	   23.7	   0.06	NaN	   0.10	  -1.01	   0.00	0	   18.0	NaN	NaN	   17.9	   0.24	NaN	   0.28	  -0.88	   0.00	0	   30.0	NaN	NaN	   28.4	  -0.04	NaN	   0.39	  -0.93	   0.00	--------	-1	0.00	*
4:449389	   88.0	0	   12.0	NaN	NaN	    8.5	   0.69	NaN	   0.83	  -0.82	   0.00	0	   20.0	NaN	NaN	   21.2	   0.16	NaN	   0.20	  -0.96	   0.00	0	   22.0	NaN	NaN	   17.6	   0.71	NaN	   0.76	  -0.71	   0.00	0	   34.0	NaN	NaN	   31.3	   0.01	NaN	   0.47	  -0.76	   0.00	--------	-1	0.00	*
6:272011	   76.0	0	    5.0	NaN	NaN	    7.2	   0.04	NaN	   0.08	  -1.32	   0.00	0	   26.0	NaN	NaN	   17.5	   1.42	NaN	   1.47	  -0.78	   0.00	0	   21.0	NaN	NaN	   18.3	   0.49	NaN	   0.53	  -1.10	   0.00	0	   24.0	NaN	NaN	   27.6	  -0.21	NaN	   0.11	  -1.00	   0.00	--------	-1	0.00	*
9:350419	   93.0	0	   12.0	NaN	NaN	    8.5	   0.69	NaN	   0.83	  -0.95	   0.00	0	   20.0	NaN	NaN	   19.8	   0.25	NaN	   0.29	  -0.93	   0.00	0	   26.0	NaN	NaN	   17.4	   1.44	NaN	   1.50	  -0.85	   0.00	0	   35.0	NaN	NaN	   28.3	   0.32	NaN	   0.91	  -0.97	   0.00	--------	-1	0.00	*
mit:9068	  253.0	0	   19.0	NaN	NaN	   25.9	   0.00	NaN	   0.03	  -0.79	   0.34	0	   51.0	NaN	NaN	   63.3	  -0.01	NaN	   0.02	  -0.90	   0.34	0	  104.0	NaN	NaN	  138.6	  -0.02	NaN	   0.00	  -0.75	   0.34	0	   79.0	NaN	NaN	   75.7	  -0.00	NaN	   0.43	  -0.81	   0.34	--------	-1	0.00	*
mit:12724	  146.3	0	   16.3	NaN	NaN	   34.4	  -0.00	NaN	   0.00	  -1.13	   0.00	0	   40.8	NaN	NaN	   79.8	  -0.01	NaN	   0.00	  -0.91	   0.00	0	   58.6	NaN	NaN	  175.6	  -0.00	NaN	  -0.00	  -0.98	   0.00	0	   30.6	NaN	NaN	   93.7	  -0.00	NaN	   0.00	  -1.26	   0.00	--------	-1	0.00	*
mit:13075	  176.7	0	   11.7	NaN	NaN	   31.7	  -0.00	NaN	   0.00	  -0.96	   0.00	0	   28.2	NaN	NaN	   76.0	  -0.00	NaN	   0.00	  -1.27	   0.00	0	   85.4	NaN	NaN	  168.0	  -0.01	NaN	   0.00	  -0.98	   0.00	0	   51.4	NaN	NaN	   86.8	  -0.03	NaN	   0.00	  -1.11	   0.00	--------	-1	0.00	*
mit:13746	  232.0	0	   14.0	NaN	NaN	   28.3	  -0.01	NaN	   0.00	  -1.30	   0.00	0	   44.0	NaN	NaN	   65.2	  -0.01	NaN	   0.00	  -0.87	   0.00	0	  122.0	NaN	NaN	  143.5	  -0.02	NaN	   0.01	  -0.81	   0.00	0	   52.0	NaN	NaN	   78.7	  -0.05	NaN	   0.00	  -0.92	   0.00	--------	-1	0.00	*
mit:15004	  215.0	0	   17.0	NaN	NaN	   26.1	  -0.01	NaN	   0.01	  -1.04	   0.00	0	   48.0	NaN	NaN	   64.3	  -0.02	NaN	   0.01	  -0.97	   0.00	0	   95.0	NaN	NaN	  135.0	  -0.01	NaN	   0.00	  -0.88	   0.00	0	   55.0	NaN	NaN	   76.6	  -0.11	NaN	   0.00	  -0.74	   0.00	--------	-1	0.00	*
