Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
11:74441	   27.0	0	    9.0	NaN	NaN	    8.4	   0.20	NaN	   0.33	  -1.05	   0.00	0	    2.0	NaN	NaN	    4.0	  -0.03	NaN	   0.04	  -1.59	   0.00	0	   16.0	NaN	NaN	    8.2	   1.52	NaN	   1.99	  -0.71	   0.00	0	    0.0	NaN	NaN	    2.5	  -0.03	NaN	  -0.00	  -4.00	   0.00	--------	-1	0.00	*
11:333611	   38.0	0	   14.4	NaN	NaN	    9.5	   0.75	NaN	   1.23	  -0.13	   0.00	0	    2.1	NaN	NaN	    4.4	  -0.04	NaN	   0.09	   0.19	   0.00	0	   16.9	NaN	NaN	    8.1	   1.86	NaN	   2.35	   0.07	   0.00	0	    4.6	NaN	NaN	    2.2	   0.46	NaN	   1.17	  -0.98	   0.00	--------	-1	0.00	*
11:361503	   27.0	0	    9.0	NaN	NaN	   10.5	   0.06	NaN	   0.14	  -0.70	   0.00	0	    7.0	NaN	NaN	    5.5	   0.20	NaN	   0.51	  -1.04	   0.00	0	   11.0	NaN	NaN	    6.7	   0.81	NaN	   1.12	  -0.78	   0.00	0	    0.0	NaN	NaN	    3.4	  -0.02	NaN	  -0.00	  -4.00	   0.00	--------	-1	0.00	*
12:258168	   25.0	0	   13.0	NaN	NaN	    8.4	   0.64	NaN	   1.08	  -0.65	   0.00	0	    3.0	NaN	NaN	    3.4	  -0.00	NaN	   0.18	  -1.02	   0.00	0	    8.0	NaN	NaN	    7.4	   0.22	NaN	   0.34	  -0.36	   0.00	0	    1.0	NaN	NaN	    2.4	  -0.07	NaN	   0.04	  -4.00	   0.00	--------	-1	0.00	*
12:667241	   27.0	0	   10.0	NaN	NaN	    7.6	   0.40	NaN	   0.63	  -0.40	   0.00	0	    2.0	NaN	NaN	    3.4	  -0.03	NaN	   0.07	  -0.56	   0.00	0	   12.0	NaN	NaN	    6.3	   1.20	NaN	   1.56	  -0.57	   0.00	0	    3.0	NaN	NaN	    2.3	   0.07	NaN	   0.39	  -1.14	   0.00	--------	-1	0.00	*
12:692424	   28.0	0	    9.0	NaN	NaN	    9.4	   0.11	NaN	   0.22	  -0.73	   0.00	0	    5.0	NaN	NaN	    4.2	   0.12	NaN	   0.40	  -0.86	   0.00	0	    8.0	NaN	NaN	    8.5	   0.14	NaN	   0.21	  -0.76	   0.00	0	    6.0	NaN	NaN	    4.4	   0.08	NaN	   0.56	  -0.48	   0.00	--------	-1	0.00	*
13:250934	   34.0	0	   11.0	NaN	NaN	    7.8	   0.48	NaN	   0.77	  -0.60	   0.00	0	    7.0	NaN	NaN	    4.5	   0.33	NaN	   0.77	  -0.80	   0.00	0	   11.0	NaN	NaN	    6.4	   0.89	NaN	   1.23	  -1.05	   0.00	0	    5.0	NaN	NaN	    2.7	   0.21	NaN	   0.84	  -0.31	   0.00	--------	-1	0.00	*
13:338520	   28.0	0	   13.0	NaN	NaN	    8.7	   0.56	NaN	   0.97	  -0.86	   0.00	0	    5.0	NaN	NaN	    3.8	   0.17	NaN	   0.47	  -0.73	   0.00	0	    8.0	NaN	NaN	    7.1	   0.21	NaN	   0.38	  -0.53	   0.00	0	    2.0	NaN	NaN	    3.0	  -0.05	NaN	   0.10	  -1.28	   0.00	--------	-1	0.00	*
13:616516	   35.0	0	   14.0	NaN	NaN	   10.1	   0.52	NaN	   0.84	  -0.82	   0.00	0	    2.0	NaN	NaN	    4.4	  -0.03	NaN	   0.03	  -1.86	   0.00	0	   14.0	NaN	NaN	    7.0	   1.43	NaN	   1.88	  -0.49	   0.00	0	    5.0	NaN	NaN	    2.6	   0.26	NaN	   0.91	  -0.77	   0.00	--------	-1	0.00	*
13:639315	   25.0	0	    6.0	NaN	NaN	    8.3	   0.02	NaN	   0.08	  -1.10	   0.00	0	    6.0	NaN	NaN	    3.4	   0.44	NaN	   0.90	  -0.95	   0.00	0	   12.0	NaN	NaN	    7.5	   0.80	NaN	   1.10	  -0.52	   0.00	0	    1.0	NaN	NaN	    2.2	  -0.07	NaN	   0.05	  -4.00	   0.00	--------	-1	0.00	*
