Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
10:604158	  164.0	1	   20.0	NaN	NaN	   10.0	   2.21	NaN	   2.48	  -0.44	   0.44	1	   33.0	NaN	NaN	    7.2	  11.10	NaN	  11.61	  -0.41	   0.44	1	  100.0	NaN	NaN	   16.1	  43.76	NaN	  44.24	  -0.33	   0.44	0	   11.0	NaN	NaN	    6.8	   0.71	NaN	   1.08	  -0.63	   0.44	--------	-1	0.00	*
10:618248	   51.0	0	   10.0	NaN	NaN	    8.7	   0.28	NaN	   0.43	  -0.50	   0.00	0	    8.0	NaN	NaN	    5.0	   0.71	NaN	   0.88	  -0.55	   0.00	1	   25.0	NaN	NaN	   12.7	   2.64	NaN	   2.83	  -0.33	   0.00	0	    8.0	NaN	NaN	    8.1	   0.07	NaN	   0.26	  -0.67	   0.00	--------	-1	0.00	*
11:237557	  244.4	0	    4.0	NaN	NaN	   10.8	  -0.08	NaN	   0.00	   1.81	   0.43	1	   48.1	NaN	NaN	    6.5	  25.02	NaN	  25.72	  -0.56	   0.43	1	  181.9	NaN	NaN	   18.3	 111.36	NaN	 112.19	  -0.48	   0.43	0	   10.4	NaN	NaN	    9.0	   0.29	NaN	   0.53	  -0.47	   0.43	--------	-1	0.00	*
11:237783	  317.4	1	   42.5	NaN	NaN	   10.8	  12.45	NaN	  12.95	  -0.46	   0.43	0	    0.0	NaN	NaN	    6.7	  -0.09	NaN	   0.00	  -0.44	   0.43	1	  254.5	NaN	NaN	   18.5	 188.12	NaN	 189.20	  -0.50	   0.43	1	   20.4	NaN	NaN	    9.1	   2.61	NaN	   3.28	  -0.46	   0.43	--------	-1	0.00	*
11:237808	  237.2	0	   18.5	NaN	NaN	   10.8	   1.58	NaN	   1.84	  -0.37	   0.43	1	   68.9	NaN	NaN	    6.7	  43.29	NaN	  44.29	  -0.41	   0.43	1	  137.6	NaN	NaN	   18.5	  69.38	NaN	  69.89	  -0.50	   0.43	0	   12.2	NaN	NaN	    9.4	   0.50	NaN	   0.81	  -0.42	   0.43	--------	-1	0.00	*
11:391162	  316.0	1	  106.0	NaN	NaN	   13.7	  54.93	NaN	  55.64	  -0.72	   0.00	1	   37.0	NaN	NaN	    6.3	  15.75	NaN	  16.33	  -0.57	   0.00	1	  149.0	NaN	NaN	   15.3	  89.87	NaN	  90.54	  -0.61	   0.00	1	   24.0	NaN	NaN	    8.2	   4.38	NaN	   5.26	  -0.50	   0.00	--------	-1	0.00	*
11:636277	  550.9	1	  249.2	NaN	NaN	   14.1	 210.42	NaN	 211.30	  -0.47	   0.04	1	   47.9	NaN	NaN	    6.7	  23.71	NaN	  24.35	  -0.44	   0.04	1	  187.6	NaN	NaN	   17.0	 122.45	NaN	 123.33	  -0.46	   0.04	1	   66.3	NaN	NaN	   12.6	  25.19	NaN	  26.37	  -0.61	   0.04	--------	-1	0.00	*
11:636328	 1088.9	1	  473.0	NaN	NaN	   14.1	 999.00	NaN	 999.00	  -0.48	   0.04	1	  160.0	NaN	NaN	    6.7	 155.46	NaN	 156.77	  -0.57	   0.04	1	  321.1	NaN	NaN	   17.0	 278.93	NaN	 280.24	  -0.51	   0.04	1	  134.9	NaN	NaN	   12.8	  85.01	NaN	  86.32	  -0.59	   0.04	--------	-1	0.00	*
11:636334	 1440.6	1	  619.9	NaN	NaN	   14.1	 999.00	NaN	 999.00	  -0.47	   0.04	1	  168.0	NaN	NaN	    6.7	 166.42	NaN	 167.91	  -0.56	   0.04	1	  504.7	NaN	NaN	   17.0	 999.00	NaN	 999.00	  -0.48	   0.04	1	  147.9	NaN	NaN	   12.8	  98.40	NaN	  99.89	  -0.54	   0.04	--------	-1	0.00	*
11:636373	 1152.6	1	  442.9	NaN	NaN	   14.5	 999.00	NaN	 999.00	  -0.45	   0.04	1	  215.1	NaN	NaN	    6.8	 232.78	NaN	 234.57	  -0.55	   0.04	1	  343.6	NaN	NaN	   17.0	 307.17	NaN	 308.66	  -0.44	   0.04	1	  150.9	NaN	NaN	   12.7	 101.96	NaN	 103.74	  -0.47	   0.04	--------	-1	0.00	*
