Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
10:15156	  563.0	1	   73.0	NaN	NaN	   11.5	  32.94	NaN	  33.30	  -0.76	   0.26	1	  166.0	NaN	NaN	   73.9	  19.57	NaN	  19.86	  -0.74	   0.26	1	  284.0	NaN	NaN	   49.4	 114.98	NaN	 115.47	  -0.69	   0.26	0	   40.0	NaN	NaN	   51.1	  -0.20	NaN	   0.02	  -0.36	   0.26	--------	-1	0.00	*
11:74451	  368.0	1	   77.0	NaN	NaN	   16.7	  25.98	NaN	  26.32	  -0.80	   0.00	1	  126.0	NaN	NaN	   81.7	   5.26	NaN	   5.48	  -0.55	   0.00	1	  143.0	NaN	NaN	   58.7	  19.89	NaN	  20.14	  -0.66	   0.00	0	   22.0	NaN	NaN	   53.5	  -0.08	NaN	   0.00	  -0.56	   0.00	--------	-1	0.00	*
11:391171	 1760.0	1	  350.0	NaN	NaN	   17.5	 311.97	NaN	 312.76	  -0.76	   0.08	1	  405.0	NaN	NaN	   81.7	 142.17	NaN	 142.89	  -0.66	   0.08	1	  943.0	NaN	NaN	   61.2	 999.00	NaN	 999.00	  -0.61	   0.08	0	   62.0	NaN	NaN	   53.5	   0.41	NaN	   0.86	  -0.67	   0.08	--------	-1	0.00	*
11:636322	 9965.7	1	 2132.0	NaN	NaN	   29.8	 999.00	NaN	 999.00	  -0.56	   0.01	1	 3065.8	NaN	NaN	  118.7	 999.00	NaN	 999.00	  -0.52	   0.01	1	 4289.4	NaN	NaN	   94.8	 999.00	NaN	 999.00	  -0.55	   0.01	1	  478.5	NaN	NaN	   70.8	 220.72	NaN	 222.29	  -0.72	   0.01	--------	-1	0.00	*
11:636373	 5481.3	1	  585.0	NaN	NaN	   30.5	 999.00	NaN	 999.00	  -0.51	   0.01	1	 2180.2	NaN	NaN	  119.0	 999.00	NaN	 999.00	  -0.49	   0.01	1	 2531.6	NaN	NaN	   95.1	 999.00	NaN	 999.00	  -0.50	   0.01	1	  184.5	NaN	NaN	   70.5	  28.37	NaN	  29.33	  -0.50	   0.01	--------	-1	0.00	*
12:69218	  602.0	1	  115.0	NaN	NaN	   14.5	  60.71	NaN	  61.17	  -0.63	   0.38	1	  233.0	NaN	NaN	   86.1	  38.08	NaN	  38.51	  -0.62	   0.38	1	  229.0	NaN	NaN	   56.1	  66.02	NaN	  66.42	  -0.63	   0.38	0	   25.0	NaN	NaN	   54.9	  -0.09	NaN	   0.00	  -0.66	   0.38	--------	-1	0.00	*
12:213752	 1717.0	1	  441.0	NaN	NaN	   13.7	 999.00	NaN	 999.00	  -0.72	   0.02	1	  408.0	NaN	NaN	   86.9	 135.66	NaN	 136.33	  -0.79	   0.02	1	  774.0	NaN	NaN	   64.7	 999.00	NaN	 999.00	  -0.70	   0.02	0	   94.0	NaN	NaN	   77.4	   0.82	NaN	   1.43	  -0.85	   0.02	--------	-1	0.00	*
12:232563	  356.0	1	   69.0	NaN	NaN	   15.0	  23.37	NaN	  23.66	  -0.64	   0.00	1	  123.0	NaN	NaN	   75.2	   6.32	NaN	   6.57	  -0.66	   0.00	1	  143.0	NaN	NaN	   54.6	  22.54	NaN	  22.85	  -0.70	   0.00	0	   21.0	NaN	NaN	   52.2	  -0.06	NaN	   0.00	  -0.31	   0.00	--------	-1	0.00	*
13:85812	  822.0	1	  193.0	NaN	NaN	   17.3	 126.63	NaN	 127.20	  -0.77	   0.32	1	  266.0	NaN	NaN	  106.1	  37.93	NaN	  38.33	  -0.71	   0.32	1	  324.0	NaN	NaN	   66.1	 112.85	NaN	 113.30	  -0.67	   0.32	0	   39.0	NaN	NaN	   62.0	  -0.14	NaN	   0.00	  -0.44	   0.32	--------	-1	0.00	*
13:250862	  563.0	1	   53.0	NaN	NaN	   14.2	  14.32	NaN	  14.59	  -0.61	   0.49	1	  213.0	NaN	NaN	   87.0	  29.36	NaN	  29.70	  -0.64	   0.49	1	  156.0	NaN	NaN	   62.6	  22.53	NaN	  22.82	  -0.62	   0.49	1	  141.0	NaN	NaN	   66.8	  13.85	NaN	  14.72	  -0.62	   0.49	--------	-1	0.00	*
13:630532	  942.0	1	  151.0	NaN	NaN	   23.2	  68.28	NaN	  68.77	  -0.68	   0.25	1	  297.0	NaN	NaN	   92.5	  62.79	NaN	  63.31	  -0.77	   0.25	1	  459.0	NaN	NaN	   63.1	 224.77	NaN	 225.34	  -0.72	   0.25	0	   35.0	NaN	NaN	   55.9	  -0.15	NaN	   0.00	  -0.36	   0.25	--------	-1	0.00	*
14:493066	 2410.0	1	 1134.0	NaN	NaN	   20.7	 999.00	NaN	 999.00	  -0.58	   0.14	1	  278.0	NaN	NaN	   82.5	  62.84	NaN	  63.41	  -0.66	   0.14	1	  900.0	NaN	NaN	   60.0	 999.00	NaN	 999.00	  -0.56	   0.14	1	   98.0	NaN	NaN	   60.4	   4.48	NaN	   5.27	  -0.58	   0.14	--------	-1	0.00	*
15:83229	  441.0	0	   24.0	NaN	NaN	   13.8	   1.94	NaN	   2.10	  -0.67	   0.42	1	  239.0	NaN	NaN	   94.5	  34.76	NaN	  35.13	  -0.71	   0.42	1	  152.0	NaN	NaN	   57.2	  24.53	NaN	  24.86	  -0.74	   0.42	0	   26.0	NaN	NaN	   54.4	  -0.11	NaN	   0.00	  -0.50	   0.42	--------	-1	0.00	*
16:757	  249.0	0	   20.0	NaN	NaN	   12.3	   1.44	NaN	   1.58	  -0.72	   0.00	0	   96.0	NaN	NaN	   75.8	   1.71	NaN	   1.85	  -0.72	   0.00	1	   75.0	NaN	NaN	   50.7	   2.88	NaN	   3.07	  -0.72	   0.00	0	   58.0	NaN	NaN	   52.2	   0.28	NaN	   0.64	  -0.57	   0.00	--------	-1	0.00	*
2:165524	 1512.0	1	  302.0	NaN	NaN	   15.4	 266.50	NaN	 267.22	  -0.69	   0.04	1	  452.0	NaN	NaN	   91.5	 157.91	NaN	 158.70	  -0.63	   0.04	1	  704.0	NaN	NaN	   66.7	 999.00	NaN	 999.00	  -0.60	   0.04	0	   54.0	NaN	NaN	   59.6	  -0.18	NaN	   0.11	  -0.64	   0.04	--------	-1	0.00	*
2:440078	 2272.0	1	  405.0	NaN	NaN	   14.6	 999.00	NaN	 999.00	  -0.74	   0.07	1	  537.0	NaN	NaN	   77.9	 251.64	NaN	 252.73	  -0.77	   0.07	1	 1240.0	NaN	NaN	   53.4	 999.00	NaN	 999.00	  -0.60	   0.07	1	   90.0	NaN	NaN	   57.5	   3.63	NaN	   4.35	  -0.72	   0.07	--------	-1	0.00	*
3:82220	  213.0	1	   22.0	NaN	NaN	   11.1	   2.43	NaN	   2.60	  -0.96	   0.00	1	   94.0	NaN	NaN	   66.9	   2.84	NaN	   2.99	  -0.67	   0.00	0	   54.0	NaN	NaN	   44.4	   0.91	NaN	   1.05	  -0.69	   0.00	0	   43.0	NaN	NaN	   45.9	  -0.15	NaN	   0.16	  -0.76	   0.00	--------	-1	0.00	*
4:930000	  729.0	1	  114.0	NaN	NaN	   15.5	  57.09	NaN	  57.52	  -0.83	   0.31	1	  242.0	NaN	NaN	   84.0	  43.72	NaN	  44.18	  -0.65	   0.31	1	  323.0	NaN	NaN	   58.5	 126.01	NaN	 126.54	  -0.70	   0.31	0	   50.0	NaN	NaN	   58.7	  -0.19	NaN	   0.05	  -0.43	   0.31	--------	-1	0.00	*
4:972139	  239.0	1	   30.0	NaN	NaN	   12.2	   4.67	NaN	   4.89	  -0.82	   0.00	1	  115.0	NaN	NaN	   77.0	   4.32	NaN	   4.51	  -0.70	   0.00	0	   54.0	NaN	NaN	   51.5	   0.30	NaN	   0.42	  -0.57	   0.00	0	   40.0	NaN	NaN	   52.7	  -0.17	NaN	   0.01	  -0.68	   0.00	--------	-1	0.00	*
5:70163	  576.0	1	  134.0	NaN	NaN	   13.5	  82.08	NaN	  82.61	  -0.75	   0.23	1	  184.0	NaN	NaN	   77.3	  24.18	NaN	  24.50	  -0.70	   0.23	1	  222.0	NaN	NaN	   51.3	  68.20	NaN	  68.63	  -0.73	   0.23	0	   36.0	NaN	NaN	   52.5	  -0.17	NaN	   0.00	  -0.54	   0.23	--------	-1	0.00	*
6:107453	  345.0	1	   96.0	NaN	NaN	   13.5	  46.90	NaN	  47.29	  -0.74	   0.00	0	  101.0	NaN	NaN	   86.3	   1.07	NaN	   1.18	  -0.65	   0.00	1	  133.0	NaN	NaN	   64.3	  13.10	NaN	  13.31	  -0.67	   0.00	0	   15.0	NaN	NaN	   54.2	  -0.05	NaN	   0.00	  -0.36	   0.00	--------	-1	0.00	*
7:1005851	 1640.0	1	  289.0	NaN	NaN	   18.7	 227.13	NaN	 227.80	  -0.77	   0.14	1	  494.0	NaN	NaN	   94.0	 183.18	NaN	 184.05	  -0.77	   0.14	1	  788.0	NaN	NaN	   72.7	 999.00	NaN	 999.00	  -0.64	   0.14	0	   69.0	NaN	NaN	   60.8	   0.37	NaN	   0.79	  -0.63	   0.14	--------	-1	0.00	*
8:64535	 1260.0	1	  272.0	NaN	NaN	   27.3	 166.23	NaN	 166.84	  -0.64	   0.24	1	  478.0	NaN	NaN	   83.3	 192.01	NaN	 192.98	  -0.61	   0.24	1	  453.0	NaN	NaN	   53.7	 247.21	NaN	 247.83	  -0.61	   0.24	0	   57.0	NaN	NaN	   50.2	   0.34	NaN	   0.73	  -0.36	   0.24	--------	-1	0.00	*
mit:23732	  572.0	1	   56.0	NaN	NaN	   27.7	   5.56	NaN	   5.81	  -0.52	   0.00	1	  200.0	NaN	NaN	  104.6	  16.14	NaN	  16.41	  -0.56	   0.00	1	  242.0	NaN	NaN	  139.5	  14.40	NaN	  14.63	  -0.65	   0.00	1	   74.0	NaN	NaN	   46.0	   3.38	NaN	   4.04	  -0.73	   0.00	--------	-1	0.00	*
mit:31084	  225.0	0	   10.0	NaN	NaN	   21.7	  -0.06	NaN	   0.00	  -0.70	   0.00	1	  105.0	NaN	NaN	   73.4	   3.35	NaN	   3.52	  -0.86	   0.00	0	   89.0	NaN	NaN	   96.1	   0.03	NaN	   0.11	  -0.77	   0.00	0	   21.0	NaN	NaN	   30.2	  -0.19	NaN	   0.01	  -0.86	   0.00	--------	-1	0.00	*
mit:38967	  264.0	1	   40.0	NaN	NaN	   21.7	   3.35	NaN	   3.56	  -0.86	   0.00	0	   70.0	NaN	NaN	   73.4	   0.11	NaN	   0.17	  -0.89	   0.00	1	  126.0	NaN	NaN	   96.1	   2.53	NaN	   2.70	  -0.90	   0.00	0	   28.0	NaN	NaN	   30.2	  -0.17	NaN	   0.17	  -0.84	   0.00	--------	-1	0.00	*
mit:53557	  234.0	0	    7.0	NaN	NaN	   21.7	  -0.05	NaN	   0.00	  -0.81	   0.00	1	  111.0	NaN	NaN	   73.4	   4.37	NaN	   4.58	  -0.74	   0.00	0	   79.0	NaN	NaN	   96.1	  -0.05	NaN	   0.01	  -0.73	   0.00	0	   37.0	NaN	NaN	   30.2	   0.40	NaN	   0.89	  -0.80	   0.00	--------	-1	0.00	*
plasmid-2-micron:685	14698.0	0	  805.0	NaN	NaN	  806.3	   0.20	NaN	   0.28	  -0.46	   0.92	1	 5446.0	NaN	NaN	 4065.2	  93.59	NaN	  94.21	  -0.31	   0.92	1	 3985.0	NaN	NaN	 3295.5	  31.18	NaN	  31.55	  -0.29	   0.92	1	 4462.0	NaN	NaN	 2946.2	 147.01	NaN	 148.28	  -0.32	   0.92	--------	-1	0.00	*
plasmid-2-micron:3519	13187.0	1	  843.0	NaN	NaN	  761.8	   2.52	NaN	   2.70	  -0.33	   0.83	1	 5042.0	NaN	NaN	 4007.8	  55.28	NaN	  55.77	  -0.26	   0.83	1	 3635.0	NaN	NaN	 3103.1	  20.66	NaN	  20.93	  -0.28	   0.83	1	 3667.0	NaN	NaN	 2935.1	  37.79	NaN	  38.88	  -0.29	   0.83	--------	-1	0.00	*
plasmid-2-micron:4536	 7179.1	1	 1069.6	NaN	NaN	  761.8	  25.63	NaN	  25.94	  -0.41	   0.40	0	 2476.4	NaN	NaN	 4007.8	  -0.01	NaN	  -0.00	  -0.43	   0.40	0	 2345.2	NaN	NaN	 3104.0	  -0.02	NaN	  -0.00	  -0.45	   0.40	0	 1287.9	NaN	NaN	 2935.1	  -0.01	NaN	  -0.00	  -0.50	   0.40	--------	-1	0.00	*
