Gene	Chromosome	TSS	Strand	DistanceTSStoORF
GDH3	chr1	20787	+	46
BDH2	chr1	22628	+	86
BDH1	chr1	24373	+	48
ECM1	chr1	25791	+	-16
CNE1	chr1	26681	+	49
GPB2	chr1	28471	+	54
PEX22	chr1	31421	+	22
FLC2	chr1	35020	+	140
OAF1	chr1	37800	+	25
BOL1	chr1	46767	+	12
ERV46	chr1	50561	+	16
CDC24	chr1	52037	+	64
CDC19	chr1	60985	+	27
YAL037W	chr1	63162	+	84
FUN12	chr1	65627	+	26
MTW1	chr1	68915	+	29
POP5	chr1	71927	+	5
SNC1	chr1	76490	+	22
FRT2	chr1	82078	+	48
SAW1	chr1	83833	+	80
FUN30	chr1	104021	+	110
PSK1	chr1	109070	+	367
TPD3	chr1	113994	+	97
DEP1	chr1	118450	+	34
CYS3	chr1	119949	+	64
SWC3	chr1	121409	+	4
SPO7	chr1	125043	+	25
FUN14	chr1	126088	+	40
EFB1	chr1	131367	+	21
VPS8	chr1	132830	+	91
NUP60	chr1	141420	+	42
SWD1	chr1	144163	+	47
SEN34	chr1	148069	+	102
ADE1	chr1	152600	+	50
YAR028W	chr1	168150	+	16
MST28	chr1	171329	+	52
YAT1	chr1	173437	+	30
SWH1	chr1	175844	+	52
PHO11	chr1	203697	+	307
ACS1	chr1	34340	-	52
AIM2	chr1	41912	-	56
SPC72	chr1	46147	-	29
BOL3	chr1	46644	-	-2
GCV3	chr1	47737	-	14
PTA1	chr1	50344	-	31
CLN3	chr1	57105	-	324
CYC3	chr1	58860	-	75
RBG1	chr1	65410	-	32
FUN19	chr1	71788	-	611
PRP45	chr1	73720	-	20
GIP4	chr1	76304	-	47
MYO4	chr1	81748	-	252
DRS2	chr1	89009	-	86
MAK16	chr1	90394	-	23
LTE1	chr1	95188	-	104
PMT2	chr1	97851	-	88
FUN26	chr1	99658	-	16
CCR4	chr1	102615	-	44
ATS1	chr1	103831	-	4
NTG1	chr1	117293	-	-23
SYN8	chr1	118264	-	31
MDM10	chr1	124916	-	37
ERP2	chr1	127631	-	72
SSA1	chr1	130707	-	62
TFC3	chr1	140417	-	37
ERP1	chr1	143945	-	16
RFA1	chr1	147887	-	63
BUD14	chr1	152296	-	150
KIN3	chr1	154986	-	8
PAU7	chr1	160330	-	32
YAR023C	chr1	163326	-	231
YJL213W	chr10	20612	+	351
PEX2	chr10	25660	+	52
CBP1	chr10	26706	+	94
PRP21	chr10	42099	+	34
ECM25	chr10	43168	+	3
PHO90	chr10	49604	+	22
UBP12	chr10	52545	+	42
CDC6	chr10	58082	+	38
