Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
11:74415	   56.0	0	   11.0	NaN	NaN	   11.3	   0.13	NaN	   0.24	  -0.46	   0.00	0	   14.0	NaN	NaN	    8.3	   1.23	NaN	   1.35	  -0.52	   0.00	0	   24.0	NaN	NaN	   14.3	   1.80	NaN	   1.92	  -0.92	   0.00	0	    7.0	NaN	NaN	    5.3	   0.31	NaN	   0.54	  -1.07	   0.00	--------	-1	0.00	*
12:427697	   33.0	0	    7.0	NaN	NaN	    8.7	   0.04	NaN	   0.11	  -0.73	   0.00	0	    9.0	NaN	NaN	    5.5	   0.88	NaN	   0.99	  -0.73	   0.00	0	   15.0	NaN	NaN	   10.4	   0.91	NaN	   0.98	  -0.60	   0.00	0	    2.0	NaN	NaN	    4.7	  -0.03	NaN	   0.02	  -4.00	   0.00	--------	-1	0.00	*
14:185309	   31.0	0	   11.0	NaN	NaN	   10.1	   0.21	NaN	   0.37	  -0.50	   0.00	0	    4.0	NaN	NaN	    4.5	   0.14	NaN	   0.18	  -1.88	   0.00	0	   10.0	NaN	NaN	   10.2	   0.21	NaN	   0.25	  -0.90	   0.00	0	    6.0	NaN	NaN	    4.7	   0.27	NaN	   0.48	  -1.30	   0.00	--------	-1	0.00	*
15:249861	   41.0	0	   11.0	NaN	NaN	    9.8	   0.23	NaN	   0.40	  -0.65	   0.00	0	    6.0	NaN	NaN	    6.7	   0.13	NaN	   0.18	  -0.79	   0.00	0	   19.0	NaN	NaN	   11.3	   1.53	NaN	   1.64	  -0.69	   0.00	0	    5.0	NaN	NaN	    5.9	   0.02	NaN	   0.16	  -1.48	   0.00	--------	-1	0.00	*
16:503782	   32.0	0	    9.0	NaN	NaN	    8.6	   0.18	NaN	   0.31	  -0.42	   0.00	0	    6.0	NaN	NaN	    5.4	   0.28	NaN	   0.35	  -1.06	   0.00	0	   14.0	NaN	NaN	    8.3	   1.27	NaN	   1.35	  -0.59	   0.00	0	    3.0	NaN	NaN	    4.8	  -0.02	NaN	   0.07	  -1.33	   0.00	--------	-1	0.00	*
16:645777	   34.0	0	   13.0	NaN	NaN	    8.6	   0.73	NaN	   1.03	  -0.69	   0.00	0	    3.0	NaN	NaN	    5.7	   0.01	NaN	   0.03	  -0.67	   0.00	0	    9.0	NaN	NaN	   10.8	   0.10	NaN	   0.13	  -0.40	   0.00	0	    9.0	NaN	NaN	    6.0	   0.55	NaN	   0.81	  -1.00	   0.00	--------	-1	0.00	*
2:706806	   34.0	0	   11.0	NaN	NaN	    8.5	   0.39	NaN	   0.62	  -0.66	   0.00	0	    3.0	NaN	NaN	    4.0	   0.08	NaN	   0.11	  -1.23	   0.00	0	   14.0	NaN	NaN	    7.7	   1.47	NaN	   1.57	  -0.59	   0.00	0	    6.0	NaN	NaN	    4.6	   0.27	NaN	   0.49	  -0.57	   0.00	--------	-1	0.00	*
4:62317	   39.0	0	   12.0	NaN	NaN	    8.7	   0.48	NaN	   0.76	  -0.41	   0.00	0	    9.0	NaN	NaN	    5.1	   1.03	NaN	   1.14	  -0.73	   0.00	0	   15.0	NaN	NaN	    8.2	   1.58	NaN	   1.69	  -0.69	   0.00	0	    3.0	NaN	NaN	    4.7	  -0.02	NaN	   0.07	  -0.67	   0.00	--------	-1	0.00	*
4:169881	   32.0	0	   10.0	NaN	NaN	   10.1	   0.14	NaN	   0.26	  -0.55	   0.00	0	    4.0	NaN	NaN	    4.3	   0.15	NaN	   0.21	  -0.53	   0.00	0	   13.0	NaN	NaN	    8.2	   1.07	NaN	   1.14	  -0.66	   0.00	0	    5.0	NaN	NaN	    4.7	   0.13	NaN	   0.29	  -0.99	   0.00	--------	-1	0.00	*
4:1130257	   37.0	0	   17.0	NaN	NaN	   10.7	   1.00	NaN	   1.35	  -0.69	   0.00	0	    5.0	NaN	NaN	    4.3	   0.29	NaN	   0.37	  -0.82	   0.00	0	   10.0	NaN	NaN	    9.3	   0.30	NaN	   0.35	  -0.70	   0.00	0	    5.0	NaN	NaN	    6.0	   0.03	NaN	   0.14	  -0.29	   0.00	--------	-1	0.00	*
