Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
1:131168	  306.0	1	  163.0	NaN	NaN	   29.1	  64.73	NaN	  65.34	  -0.41	   0.26	1	   12.0	NaN	NaN	    1.0	   8.58	NaN	   9.17	  -0.78	   0.26	1	  104.0	NaN	NaN	    9.7	  67.07	NaN	  67.61	  -0.51	   0.26	1	   27.0	NaN	NaN	   13.4	   2.74	NaN	   3.16	  -0.44	   0.26	--------	-1	0.00	*
1:149537	  103.0	1	   69.0	NaN	NaN	   26.7	  11.05	NaN	  11.22	  -0.38	   0.00	0	    2.0	NaN	NaN	    1.0	   0.45	NaN	   0.56	  -2.35	   0.00	0	   14.0	NaN	NaN	    8.4	   1.31	NaN	   1.34	  -0.54	   0.00	0	   18.0	NaN	NaN	   11.3	   1.14	NaN	   1.39	  -0.59	   0.00	--------	-1	0.00	*
1:208813	  120.0	0	   43.0	NaN	NaN	   44.0	   0.23	NaN	   0.24	  -0.36	   0.00	1	   16.0	NaN	NaN	    2.5	   7.53	NaN	   8.07	  -0.66	   0.00	1	   33.0	NaN	NaN	   10.4	   7.63	NaN	   7.76	  -0.26	   0.00	0	   28.0	NaN	NaN	   16.8	   1.79	NaN	   2.13	  -0.62	   0.00	--------	-1	0.00	*
10:79267	  208.0	1	  114.0	NaN	NaN	   31.4	  29.04	NaN	  29.41	  -0.55	   0.00	0	    4.0	NaN	NaN	    1.4	   1.13	NaN	   1.31	  -0.40	   0.00	1	   63.0	NaN	NaN	   12.3	  23.72	NaN	  24.02	  -0.54	   0.00	1	   27.0	NaN	NaN	   11.8	   3.51	NaN	   3.99	  -0.43	   0.00	--------	-1	0.00	*
10:93373	  681.0	1	  363.0	NaN	NaN	   31.4	 242.50	NaN	 243.61	  -0.64	   0.12	1	   40.0	NaN	NaN	    1.4	  42.02	NaN	  43.17	  -0.63	   0.12	1	  227.0	NaN	NaN	   12.3	 194.99	NaN	 195.93	  -0.72	   0.12	1	   51.0	NaN	NaN	   14.9	  11.91	NaN	  12.70	  -0.40	   0.12	--------	-1	0.00	*
10:112068	  279.0	1	  131.0	NaN	NaN	   35.4	  34.02	NaN	  34.43	  -0.54	   0.23	1	   19.0	NaN	NaN	    1.4	  14.38	NaN	  15.14	  -0.81	   0.23	1	  108.0	NaN	NaN	   12.3	  61.33	NaN	  61.84	  -0.74	   0.23	0	   21.0	NaN	NaN	   13.4	   1.21	NaN	   1.48	  -0.47	   0.23	--------	-1	0.00	*
10:124928	 1330.4	1	  784.7	NaN	NaN	   51.0	 999.00	NaN	 999.00	  -0.58	   0.15	1	   16.2	NaN	NaN	    3.4	   6.33	NaN	   6.83	  -0.75	   0.15	1	  314.4	NaN	NaN	   22.0	 237.25	NaN	 238.30	  -0.70	   0.15	1	  215.2	NaN	NaN	   20.4	 136.57	NaN	 138.05	  -0.63	   0.15	--------	-1	0.00	*
10:124964	 1666.6	1	  597.3	NaN	NaN	   50.7	 999.00	NaN	 999.00	  -0.58	   0.15	1	  119.8	NaN	NaN	    3.4	 134.21	NaN	 135.89	  -0.59	   0.15	1	  792.6	NaN	NaN	   21.9	 999.00	NaN	 999.00	  -0.63	   0.15	1	  156.8	NaN	NaN	   20.4	  80.02	NaN	  81.37	  -0.67	   0.15	--------	-1	0.00	*
10:131828	  184.0	1	   98.0	NaN	NaN	   31.4	  20.64	NaN	  20.93	  -0.57	   0.00	1	    6.0	NaN	NaN	    1.4	   2.28	NaN	   2.56	  -0.75	   0.00	1	   53.0	NaN	NaN	   12.3	  17.01	NaN	  17.24	  -0.65	   0.00	1	   27.0	NaN	NaN	   11.8	   3.52	NaN	   3.99	  -0.39	   0.00	--------	-1	0.00	*
10:139163	  457.0	1	  237.0	NaN	NaN	   31.4	 119.54	NaN	 120.39	  -0.56	   0.06	1	    9.0	NaN	NaN	    1.4	   4.49	NaN	   4.89	  -0.78	   0.06	1	  124.0	NaN	NaN	   12.3	  76.90	NaN	  77.47	  -0.46	   0.06	1	   87.0	NaN	NaN	   11.8	  42.98	NaN	  44.19	  -0.47	   0.06	--------	-1	0.00	*
