Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
1:59340	  388.0	1	  175.0	NaN	NaN	   46.7	  45.60	NaN	  46.19	  -0.70	   0.31	1	   33.0	NaN	NaN	    8.3	   9.69	NaN	  10.05	  -0.54	   0.31	1	  147.0	NaN	NaN	   31.3	  49.59	NaN	  50.02	  -0.73	   0.31	1	   33.0	NaN	NaN	   10.9	   6.47	NaN	   7.25	  -0.99	   0.31	--------	-1	0.00	*
1:208804	  100.0	0	   22.0	NaN	NaN	   29.3	   0.03	NaN	   0.03	  -0.68	   0.41	1	   26.0	NaN	NaN	    4.9	  10.41	NaN	  10.78	  -1.06	   0.41	1	   40.0	NaN	NaN	   14.7	   7.32	NaN	   7.41	  -0.68	   0.41	0	   12.0	NaN	NaN	   10.7	   0.20	NaN	   0.41	  -0.76	   0.41	--------	-1	0.00	*
10:184121	  186.0	1	   58.0	NaN	NaN	   30.4	   5.17	NaN	   5.28	  -0.79	   0.00	1	   18.0	NaN	NaN	    3.5	   7.11	NaN	   7.39	  -0.57	   0.00	1	  102.0	NaN	NaN	   17.9	  41.67	NaN	  42.05	  -0.75	   0.00	0	    8.0	NaN	NaN	    6.5	   0.27	NaN	   0.49	  -0.74	   0.00	--------	-1	0.00	*
10:184671	  168.0	1	   68.0	NaN	NaN	   29.9	   8.61	NaN	   8.76	  -0.64	   0.00	1	   15.0	NaN	NaN	    3.7	   4.93	NaN	   5.13	  -0.74	   0.00	1	   74.0	NaN	NaN	   17.1	  23.47	NaN	  23.69	  -0.68	   0.00	0	   11.0	NaN	NaN	    6.2	   0.92	NaN	   1.27	  -1.04	   0.00	--------	-1	0.00	*
10:207142	  194.9	1	  102.2	NaN	NaN	   28.0	  26.73	NaN	  27.14	  -0.79	   0.00	0	    4.0	NaN	NaN	    3.6	   0.30	NaN	   0.32	  -0.79	   0.00	1	   85.4	NaN	NaN	   15.3	  34.82	NaN	  35.14	  -0.72	   0.00	0	    3.2	NaN	NaN	    5.6	   0.00	NaN	   0.09	  -1.32	   0.00	--------	-1	0.00	*
10:207430	   77.1	1	   44.8	NaN	NaN	   28.2	   2.61	NaN	   2.68	  -0.67	   0.00	0	    0.0	NaN	NaN	    3.6	   0.01	NaN	   0.01	  -1.93	   0.00	1	   26.6	NaN	NaN	   14.8	   2.50	NaN	   2.54	  -0.71	   0.00	0	    5.8	NaN	NaN	    5.8	   0.12	NaN	   0.28	  -1.02	   0.00	--------	-1	0.00	*
10:220420	  452.0	1	  221.0	NaN	NaN	   32.1	 103.94	NaN	 104.71	  -0.63	   0.38	1	   38.0	NaN	NaN	    3.7	  24.16	NaN	  24.78	  -0.68	   0.38	1	  165.0	NaN	NaN	   14.3	 110.40	NaN	 111.12	  -0.80	   0.38	1	   28.0	NaN	NaN	    7.1	   7.76	NaN	   8.61	  -0.68	   0.38	--------	-1	0.00	*
10:332144	  541.0	1	  173.0	NaN	NaN	   24.6	  82.93	NaN	  83.65	  -0.68	   0.13	1	   57.0	NaN	NaN	    4.0	  43.44	NaN	  44.25	  -0.84	   0.13	1	  289.0	NaN	NaN	   14.3	 258.20	NaN	 259.29	  -0.63	   0.13	1	   22.0	NaN	NaN	    5.5	   6.24	NaN	   7.01	  -0.45	   0.13	--------	-1	0.00	*
10:374819	  319.0	1	  127.0	NaN	NaN	   27.5	  42.16	NaN	  42.70	  -0.65	   0.43	1	   32.0	NaN	NaN	    3.4	  19.28	NaN	  19.84	  -0.79	   0.43	1	  150.0	NaN	NaN	   14.1	  95.96	NaN	  96.63	  -0.63	   0.43	0	   10.0	NaN	NaN	    5.5	   0.91	NaN	   1.26	  -0.38	   0.43	--------	-1	0.00	*
10:461917	   87.0	1	   51.0	NaN	NaN	   21.7	   7.08	NaN	   7.22	  -0.92	   0.21	0	    5.0	NaN	NaN	    3.3	   0.59	NaN	   0.64	  -0.74	   0.21	1	   26.0	NaN	NaN	   12.2	   3.35	NaN	   3.41	  -0.86	   0.21	0	    5.0	NaN	NaN	    5.5	   0.06	NaN	   0.19	  -1.12	   0.21	--------	-1	0.00	*
