Position	IP	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	KmerGroup	MotifId	KG_score	Strand
1:186110	   32.9	0	   16.6	NaN	NaN	   11.9	   0.99	NaN	   1.02	  -0.57	   0.00	0	   16.2	NaN	NaN	    9.5	   1.68	NaN	   1.75	  -0.64	   0.00	--------	-1	0.00	*
10:297181	   40.0	0	   23.0	NaN	NaN	   15.0	   1.46	NaN	   1.50	  -0.35	   0.00	0	   17.0	NaN	NaN	   11.5	   1.08	NaN	   1.13	  -0.59	   0.00	--------	-1	0.00	*
10:364285	   44.0	0	   25.0	NaN	NaN	   15.0	   1.91	NaN	   1.96	  -0.39	   0.00	0	   19.0	NaN	NaN	   11.5	   1.54	NaN	   1.60	  -0.46	   0.00	--------	-1	0.00	*
10:409061	   30.0	0	   20.0	NaN	NaN	   15.0	   0.89	NaN	   0.91	  -0.67	   0.00	0	   10.0	NaN	NaN	   11.5	   0.15	NaN	   0.15	  -0.71	   0.00	--------	-1	0.00	*
11:168879	   41.0	0	   21.0	NaN	NaN	   17.5	   0.62	NaN	   0.63	  -0.49	   0.00	0	   20.0	NaN	NaN	   13.0	   1.32	NaN	   1.37	  -0.54	   0.00	--------	-1	0.00	*
11:178087	   36.2	0	   23.1	NaN	NaN	   18.7	   0.85	NaN	   0.87	  -0.51	   0.00	0	   13.0	NaN	NaN	   13.0	   0.36	NaN	   0.37	  -0.68	   0.00	--------	-1	0.00	*
11:265669	   38.0	0	   21.0	NaN	NaN	   28.0	   0.03	NaN	   0.03	  -0.44	   0.00	0	   17.0	NaN	NaN	   22.7	   0.04	NaN	   0.04	  -0.84	   0.00	--------	-1	0.00	*
11:268126	   52.0	0	   29.0	NaN	NaN	   24.1	   0.73	NaN	   0.74	  -0.43	   0.00	0	   23.0	NaN	NaN	   17.7	   0.86	NaN	   0.90	  -0.39	   0.00	--------	-1	0.00	*
11:454083	   46.0	0	   24.0	NaN	NaN	   17.5	   1.06	NaN	   1.09	  -0.43	   0.00	0	   22.0	NaN	NaN	   13.0	   1.78	NaN	   1.85	  -0.52	   0.00	--------	-1	0.00	*
11:455942	   32.0	0	   23.0	NaN	NaN	   17.5	   0.90	NaN	   0.92	  -0.41	   0.00	0	    9.0	NaN	NaN	   13.0	   0.04	NaN	   0.05	  -0.49	   0.00	--------	-1	0.00	*
