Position	IP	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	KmerGroup	MotifId	KG_score	Strand
1:34617	   83.4	1	   52.1	NaN	NaN	   15.6	  12.74	NaN	  12.98	  -0.58	   0.00	1	   31.3	NaN	NaN	   12.4	   5.44	NaN	   5.64	  -0.77	   0.00	--------	-1	0.00	*
1:34790	   57.6	1	   32.9	NaN	NaN	   15.2	   4.17	NaN	   4.28	  -0.64	   0.00	1	   24.7	NaN	NaN	   11.9	   3.07	NaN	   3.19	  -0.66	   0.00	--------	-1	0.00	*
1:131168	  159.0	1	  103.0	NaN	NaN	   11.9	  57.78	NaN	  58.36	  -0.57	   0.13	1	   56.0	NaN	NaN	    9.5	  23.72	NaN	  24.23	  -0.53	   0.13	--------	-1	0.00	*
1:149542	   34.0	1	   23.0	NaN	NaN	   11.9	   2.48	NaN	   2.56	  -0.38	   0.00	0	   11.0	NaN	NaN	    9.5	   0.43	NaN	   0.45	  -0.33	   0.00	--------	-1	0.00	*
1:173626	  224.0	1	  101.0	NaN	NaN	   34.3	  19.49	NaN	  19.82	  -0.44	   0.65	1	  123.0	NaN	NaN	   19.0	  55.21	NaN	  56.08	  -0.49	   0.65	--------	-1	0.00	*
1:186376	   68.1	1	   44.4	NaN	NaN	   11.9	  12.46	NaN	  12.71	  -0.53	   0.00	1	   23.8	NaN	NaN	    9.5	   4.10	NaN	   4.25	  -0.97	   0.00	--------	-1	0.00	*
10:43036	   57.0	1	   28.0	NaN	NaN	   15.0	   2.70	NaN	   2.78	  -0.50	   0.00	1	   29.0	NaN	NaN	   11.5	   4.83	NaN	   5.00	  -0.53	   0.00	--------	-1	0.00	*
10:79264	   88.0	1	   54.0	NaN	NaN	   15.0	  14.01	NaN	  14.27	  -0.37	   0.00	1	   34.0	NaN	NaN	   11.5	   7.03	NaN	   7.27	  -0.50	   0.00	--------	-1	0.00	*
10:93372	  273.0	1	  145.0	NaN	NaN	   16.1	  83.14	NaN	  83.85	  -0.76	   0.11	1	  128.0	NaN	NaN	   14.1	  73.73	NaN	  74.72	  -0.55	   0.11	--------	-1	0.00	*
10:104461	   51.0	1	   27.0	NaN	NaN	   15.0	   2.42	NaN	   2.49	  -0.59	   0.00	1	   24.0	NaN	NaN	   11.5	   2.97	NaN	   3.09	  -0.58	   0.00	--------	-1	0.00	*
