Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
11:6596	   46.0	0	   15.0	NaN	NaN	   10.8	   0.69	NaN	   0.89	  -0.46	   0.00	0	    7.0	NaN	NaN	    5.2	   0.41	NaN	   0.57	  -0.36	   0.00	0	   11.0	NaN	NaN	   13.1	   0.03	NaN	   0.12	  -0.22	   0.00	0	   13.0	NaN	NaN	    7.4	   0.96	NaN	   1.40	  -0.43	   0.00	--------	-1	0.00	*
12:110076	   45.0	0	    9.0	NaN	NaN	    9.0	   0.12	NaN	   0.27	  -0.52	   0.00	0	   10.0	NaN	NaN	    4.5	   1.53	NaN	   1.77	  -0.22	   0.00	0	   20.0	NaN	NaN	   12.3	   1.42	NaN	   1.58	  -0.33	   0.00	0	    6.0	NaN	NaN	    7.0	   0.00	NaN	   0.15	  -0.28	   0.00	--------	-1	0.00	*
14:536786	   53.0	0	   15.0	NaN	NaN	   10.4	   0.78	NaN	   0.99	  -0.30	   0.00	0	   10.0	NaN	NaN	    5.1	   1.25	NaN	   1.47	  -0.18	   0.00	0	   18.0	NaN	NaN	   15.2	   0.47	NaN	   0.58	  -0.34	   0.00	0	   10.0	NaN	NaN	    9.4	   0.12	NaN	   0.33	  -0.35	   0.00	--------	-1	0.00	*
2:9913	   46.0	0	    9.0	NaN	NaN	    9.1	   0.13	NaN	   0.25	  -0.03	   0.00	0	    7.0	NaN	NaN	    4.5	   0.62	NaN	   0.78	  -0.21	   0.00	0	   16.0	NaN	NaN	   10.9	   0.90	NaN	   1.05	  -0.19	   0.00	0	   14.0	NaN	NaN	    6.5	   1.60	NaN	   2.16	  -0.13	   0.00	--------	-1	0.00	*
5:349595	   41.0	0	   11.0	NaN	NaN	    9.4	   0.30	NaN	   0.46	  -0.46	   0.00	0	    5.0	NaN	NaN	    6.0	   0.05	NaN	   0.14	  -0.31	   0.00	0	   18.0	NaN	NaN	   12.1	   1.01	NaN	   1.16	  -0.58	   0.00	0	    7.0	NaN	NaN	    7.7	   0.02	NaN	   0.18	  -0.28	   0.00	--------	-1	0.00	*
mit:22155	   40.0	0	    5.0	NaN	NaN	    6.4	   0.02	NaN	   0.12	  -0.38	   0.00	0	    0.0	NaN	NaN	    4.9	  -0.00	NaN	  -0.00	  -4.00	   0.00	0	   31.0	NaN	NaN	   44.1	  -0.07	NaN	   0.01	  -0.39	   0.00	0	    4.0	NaN	NaN	    5.7	  -0.06	NaN	   0.09	  -0.58	   0.00	--------	-1	0.00	*
mit:54287	   54.0	0	    5.0	NaN	NaN	    6.2	   0.03	NaN	   0.13	  -0.81	   0.00	0	    4.0	NaN	NaN	    4.9	   0.04	NaN	   0.15	  -0.14	   0.00	0	   43.0	NaN	NaN	   38.4	   0.49	NaN	   0.61	  -0.30	   0.00	0	    2.0	NaN	NaN	    4.5	  -0.08	NaN	   0.03	  -1.16	   0.00	--------	-1	0.00	*
mit:81393	   42.0	0	    3.0	NaN	NaN	    6.2	  -0.06	NaN	   0.02	  -0.96	   0.00	0	    5.0	NaN	NaN	    4.9	   0.14	NaN	   0.27	  -0.52	   0.00	0	   31.0	NaN	NaN	   38.4	  -0.04	NaN	   0.05	  -0.38	   0.00	0	    3.0	NaN	NaN	    4.6	  -0.06	NaN	   0.07	  -0.67	   0.00	--------	-1	0.00	*
plasmid-2-micron:327	  845.3	0	  250.2	NaN	NaN	  544.5	  -0.04	NaN	  -0.00	  -0.46	   0.74	0	  111.3	NaN	NaN	  277.4	  -0.04	NaN	  -0.00	  -0.47	   0.74	0	  283.5	NaN	NaN	  775.3	  -0.02	NaN	  -0.00	  -0.34	   0.74	0	  200.3	NaN	NaN	  407.7	  -0.04	NaN	  -0.00	  -0.46	   0.74	--------	-1	0.00	*
plasmid-2-micron:509	  661.9	0	  175.6	NaN	NaN	  548.5	  -0.01	NaN	  -0.00	  -0.52	   0.74	0	   71.0	NaN	NaN	  288.3	  -0.02	NaN	  -0.00	  -0.58	   0.74	0	  290.8	NaN	NaN	  780.5	  -0.03	NaN	  -0.00	  -0.54	   0.74	0	  124.5	NaN	NaN	  407.7	  -0.02	NaN	  -0.00	  -0.60	   0.74	--------	-1	0.00	*
plasmid-2-micron:654	  948.7	0	  291.3	NaN	NaN	  544.5	  -0.06	NaN	  -0.00	  -0.33	   0.74	0	  143.6	NaN	NaN	  283.5	  -0.07	NaN	  -0.00	  -0.27	   0.74	0	  298.7	NaN	NaN	  777.7	  -0.04	NaN	  -0.00	  -0.22	   0.74	0	  215.2	NaN	NaN	  407.7	  -0.06	NaN	  -0.00	  -0.36	   0.74	--------	-1	0.00	*
plasmid-2-micron:1010	  685.5	0	  182.2	NaN	NaN	  544.5	  -0.02	NaN	  -0.00	  -0.32	   0.60	0	   78.2	NaN	NaN	  268.5	  -0.03	NaN	  -0.00	  -0.39	   0.60	0	  258.5	NaN	NaN	  765.1	  -0.01	NaN	  -0.00	  -0.31	   0.60	0	  166.6	NaN	NaN	  407.7	  -0.03	NaN	  -0.00	  -0.42	   0.60	--------	-1	0.00	*
plasmid-2-micron:1227	  899.1	0	  279.8	NaN	NaN	  544.5	  -0.05	NaN	  -0.00	  -0.43	   0.60	0	   98.0	NaN	NaN	  275.4	  -0.04	NaN	  -0.00	  -0.61	   0.60	0	  313.5	NaN	NaN	  761.4	  -0.06	NaN	  -0.00	  -0.43	   0.60	0	  207.8	NaN	NaN	  407.7	  -0.05	NaN	  -0.00	  -0.53	   0.60	--------	-1	0.00	*
plasmid-2-micron:1306	  764.3	0	  220.0	NaN	NaN	  544.5	  -0.04	NaN	  -0.00	  -0.46	   0.60	0	  126.7	NaN	NaN	  277.2	  -0.05	NaN	  -0.00	  -0.49	   0.60	0	  305.1	NaN	NaN	  772.5	  -0.04	NaN	  -0.00	  -0.42	   0.60	0	  112.5	NaN	NaN	  407.7	  -0.01	NaN	  -0.00	  -0.48	   0.60	--------	-1	0.00	*
plasmid-2-micron:4522	  821.4	0	  206.0	NaN	NaN	  544.5	  -0.03	NaN	  -0.00	  -0.20	   0.78	0	  132.9	NaN	NaN	  275.6	  -0.06	NaN	  -0.00	  -0.27	   0.78	0	  309.1	NaN	NaN	  769.7	  -0.05	NaN	  -0.00	  -0.14	   0.78	0	  173.4	NaN	NaN	  407.7	  -0.04	NaN	  -0.00	  -0.21	   0.78	--------	-1	0.00	*
plasmid-2-micron:4550	 1416.6	0	  318.0	NaN	NaN	  544.5	  -0.07	NaN	  -0.00	  -0.27	   0.78	0	  178.1	NaN	NaN	  274.9	  -0.08	NaN	   0.00	  -0.27	   0.78	0	  610.9	NaN	NaN	  770.3	  -0.07	NaN	   0.00	  -0.26	   0.78	0	  309.6	NaN	NaN	  407.7	  -0.07	NaN	   0.00	  -0.28	   0.78	--------	-1	0.00	*
plasmid-2-micron:6109	  168.5	0	   56.0	NaN	NaN	  544.5	  -0.01	NaN	  -0.00	  -0.81	   0.00	0	    9.4	NaN	NaN	  265.0	  -0.01	NaN	  -0.00	  -0.86	   0.00	0	   65.7	NaN	NaN	  756.9	  -0.00	NaN	  -0.00	  -0.80	   0.00	0	   37.4	NaN	NaN	  407.7	  -0.01	NaN	  -0.00	  -0.76	   0.00	--------	-1	0.00	*
plasmid-2-micron:6177	  193.5	0	   46.0	NaN	NaN	  544.5	  -0.00	NaN	  -0.00	  -0.70	   0.00	0	   34.6	NaN	NaN	  265.0	  -0.01	NaN	  -0.00	  -0.65	   0.00	0	   79.3	NaN	NaN	  756.9	  -0.01	NaN	  -0.00	  -0.65	   0.00	0	   33.6	NaN	NaN	  407.7	  -0.00	NaN	  -0.00	  -0.65	   0.00	--------	-1	0.00	*
