Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
10:456396	  467.0	1	   34.0	NaN	NaN	   11.3	   6.63	NaN	   7.37	  -0.29	   0.39	1	  153.0	NaN	NaN	   13.5	 101.16	NaN	 102.12	  -0.48	   0.39	1	  266.0	NaN	NaN	   26.9	 161.00	NaN	 162.44	  -0.50	   0.39	0	   14.0	NaN	NaN	    6.6	   1.13	NaN	   2.10	  -0.16	   0.39	--------	-1	0.00	*
11:223225	  498.8	1	   36.5	NaN	NaN	   14.7	   5.50	NaN	   6.13	  -0.69	   0.14	1	  223.7	NaN	NaN	   12.6	 188.34	NaN	 189.78	  -0.62	   0.14	1	  237.6	NaN	NaN	   31.5	 119.94	NaN	 120.98	  -0.63	   0.14	0	    1.0	NaN	NaN	    9.1	  -0.07	NaN	   0.00	   1.24	   0.14	--------	-1	0.00	*
11:223330	  598.2	1	   54.5	NaN	NaN	   14.7	  13.87	NaN	  15.14	  -0.73	   0.14	1	  233.3	NaN	NaN	   13.0	 197.50	NaN	 199.24	  -0.64	   0.14	1	  301.4	NaN	NaN	   31.6	 178.43	NaN	 180.17	  -0.54	   0.14	0	    9.0	NaN	NaN	    9.2	  -0.22	NaN	   0.24	  -0.60	   0.14	--------	-1	0.00	*
12:799115	  491.0	1	   42.0	NaN	NaN	   14.1	   8.07	NaN	   8.86	  -0.58	   0.17	1	  169.0	NaN	NaN	   12.3	 124.77	NaN	 125.82	  -0.70	   0.17	1	  265.0	NaN	NaN	   31.4	 144.32	NaN	 145.58	  -0.73	   0.17	0	   15.0	NaN	NaN	    8.2	   0.77	NaN	   1.66	  -0.54	   0.17	--------	-1	0.00	*
12:966131	  137.0	0	   20.0	NaN	NaN	   10.3	   1.85	NaN	   2.33	  -0.56	   0.46	1	   30.0	NaN	NaN	    9.5	   6.73	NaN	   7.09	  -0.51	   0.46	1	   85.0	NaN	NaN	   24.3	  20.87	NaN	  21.21	  -0.57	   0.46	0	    2.0	NaN	NaN	    7.1	  -0.14	NaN	   0.00	  -0.69	   0.46	--------	-1	0.00	*
13:455154	  307.4	0	    6.3	NaN	NaN	   13.8	  -0.12	NaN	   0.01	  -0.57	   0.10	1	  106.4	NaN	NaN	   12.2	  60.45	NaN	  61.19	  -0.86	   0.10	1	  188.9	NaN	NaN	   26.6	  91.26	NaN	  92.05	  -0.67	   0.10	0	    5.9	NaN	NaN	    6.9	  -0.18	NaN	   0.16	  -0.74	   0.10	--------	-1	0.00	*
13:455160	  244.8	0	   18.7	NaN	NaN	   13.7	   0.64	NaN	   1.00	  -0.70	   0.10	1	   92.7	NaN	NaN	   12.3	  47.35	NaN	  47.98	  -0.85	   0.10	1	  133.4	NaN	NaN	   26.6	  48.52	NaN	  48.98	  -0.74	   0.10	0	    0.0	NaN	NaN	    6.9	  -0.06	NaN	   0.00	  -0.89	   0.10	--------	-1	0.00	*
13:455165	  322.8	1	   44.1	NaN	NaN	   13.7	   9.69	NaN	  10.73	  -0.73	   0.10	1	   68.0	NaN	NaN	   12.5	  26.85	NaN	  27.31	  -0.87	   0.10	1	  190.7	NaN	NaN	   26.7	  92.56	NaN	  93.39	  -0.73	   0.10	1	   20.1	NaN	NaN	    6.9	   3.64	NaN	   4.90	  -0.86	   0.10	--------	-1	0.00	*
13:828784	   76.5	1	   26.7	NaN	NaN	   13.3	   2.66	NaN	   3.19	  -0.70	   0.00	0	    9.0	NaN	NaN	   11.3	  -0.07	NaN	   0.10	  -0.44	   0.00	0	   32.5	NaN	NaN	   28.5	   0.40	NaN	   0.65	  -0.51	   0.00	0	    8.3	NaN	NaN	    8.8	  -0.25	NaN	   0.28	  -0.86	   0.00	--------	-1	0.00	*
13:829032	  211.5	1	   40.3	NaN	NaN	   13.2	   8.28	NaN	   9.18	  -0.73	   0.00	1	   29.0	NaN	NaN	   10.7	   5.66	NaN	   6.00	  -0.77	   0.00	1	  139.5	NaN	NaN	   27.4	  51.33	NaN	  51.82	  -0.68	   0.00	0	    2.7	NaN	NaN	    8.3	  -0.14	NaN	   0.00	  -0.63	   0.00	--------	-1	0.00	*
